size,Time(ns)
10,0
110,0
210,0
310,0
410,0
510,0
610,0
710,0
810,6206000
910,0
1010,4560000
1110,2764000
1210,3254000
1310,4352000
1410,3062000
1510,0
1610,10797000
1710,9174000
1810,9376000
1910,6664000
2010,9232000
2110,13827000
2210,5795000
2310,17913000
2410,13354000
2510,21157000
2610,21983000
2710,17606000
2810,19444000
2910,18777000
3010,15483000
3110,31838000
3210,25901000
3310,27574000
3410,31941000
3510,32010000
3610,32835000
3710,35661000
3810,35247000
3910,59070000
4010,48406000
4110,40323000
4210,39272000
4310,43178000
4410,42782000
4510,46164000
4610,49230000
4710,51263000
4810,53667000
4910,55352000
5010,56692000
5110,65784000
5210,71383000
5310,66147000
5410,67790000
5510,71648000
5610,68179000
5710,70210000
5810,82998000
5910,83245000
6010,86218000
6110,103973000
6210,96377000
6310,97420000
6410,104319000
6510,101060000
6610,106133000
6710,114002000
6810,119413000
6910,120103000
7010,121066000
7110,124829000
7210,117272000
7310,122407000
7410,133880000
7510,127814000
7610,136396000
7710,140832000
7810,142878000
7910,173490000
8010,154114000
8110,159990000
8210,158778000
8310,171470000
8410,178777000
8510,164860000
8610,186738000
8710,182270000
8810,187835000
8910,203315000
9010,190472000
9110,191109000
9210,210666000
9310,216031000
9410,236894000
9510,220449000
9610,216600000
9710,264523000
9810,246150000
9910,245253000
10010,256581000
10110,257013000
10210,237586000
10310,254902000
10410,307856000
10510,301584000
10610,309540000
10710,312176000
10810,343719000
10910,291226000
11010,347406000
11110,329042000
11210,398605000
11310,352512000
11410,337006000
11510,393046000
11610,365259000
11710,362115000
11810,386016000
11910,393058000
12010,386267000
12110,373448000
12210,414489000
12310,404588000
12410,445115000
12510,480444000
12610,438768000
12710,429612000
12810,444909000
12910,460381000
13010,480577000
13110,478528000
13210,479486000
13310,480604000
13410,533577000
13510,491789000
13610,474665000
13710,487701000
13810,492039000
13910,549661000
14010,548154000
14110,579890000
14210,601122000
14310,559885000
14410,605735000
14510,581981000
14610,595631000
14710,614575000
14810,616099000
14910,633469000
15010,635426000
15110,626995000
15210,627695000
15310,653539000
15410,673324000
15510,659122000
15610,684125000
15710,637398000
15810,703087000
15910,717366000
16010,676992000
16110,686389000
16210,710105000
16310,745784000
16410,763820000
16510,778081000
16610,792149000
16710,793404000
16810,777310000
16910,817144000
17010,819391000
